Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Cote d'Ivoire,9,12,30,22.3561643835616,0.75,1.34191176470589,46,5-14
Cote d'Ivoire,4,12,10,20.8109589041096,0.333333333333333,0.480516061084781,47,5-14
Cote d'Ivoire,1,12,0,20.7780821917808,0.0833333333333333,0,48,5-14
Cameroon,1,12,14,12.8876712328767,0.0833333333333333,1.08630952380952,9,5-14
Cameroon,0,12,167,22.3232876712329,0,7.48097692685321,14,5-14
Cameroon,3,12,2,22.3561643835616,0.25,0.0894607843137257,21,5-14
Cameroon,1,12,21,23.2767123287671,0.0833333333333333,0.902189265536724,35,5-14
Cameroon,0,12,44,16.8657534246575,0,2.60883690708253,42,5-14
Cameroon,2,12,22,23.3424657534247,0.166666666666667,0.942488262910796,43,5-14
Cameroon,0,12,11,17.8849315068493,0,0.615042892156863,44,5-14
Cameroon,0,12,16,17.227397260274,0,0.928753180661576,45,5-14
Cameroon,18,12,17,16.9972602739726,1.5,1.0001611863314,49,5-14
Cameroon,1,12,4,19.9890410958904,0.0833333333333333,0.200109649122807,50,5-14
Cameroon,0,12,97,21.6,0,4.49074074074074,51,5-14
Cameroon,2,12,66,21.8958904109589,0.166666666666667,3.01426426426427,53,5-14
Cameroon,3,12,3,20.0219178082192,0.25,0.14983579638752,54,5-14
Cameroon,5,12,10,21.9287671232877,0.416666666666667,0.456021989005497,92,5-14
DRC,1,12,60,22.2904109589041,0.0833333333333333,2.69174041297935,6,5-14
DRC,5,12,36,22.1917808219178,0.416666666666667,1.62222222222222,15,5-14
DRC,9,12,5,22.158904109589,0.75,0.225642927794264,16,5-14
DRC,4,12,8,22.0602739726027,0.333333333333333,0.362642821659216,23,5-14
DRC,34,12,19,22.1260273972603,2.83333333333333,0.858717186726101,24,5-14
DRC,18,12,11,22.2904109589041,1.5,0.493485742379548,25,5-14
DRC,0,12,3,21.8958904109589,0,0.137012012012012,26,5-14
DRC,4,12,17,22.2904109589041,0.333333333333333,0.762659783677483,27,5-14
DRC,5,12,14,22.0931506849315,0.416666666666667,0.633680555555556,28,5-14
DRC,4,12,1,22.1260273972603,0.333333333333333,0.0451956414066369,29,5-14
DRC,2,12,10,22.0931506849315,0.166666666666667,0.452628968253968,30,5-14
DRC,0,12,8,22.1917808219178,0,0.360493827160494,31,5-14
DRC,2,12,6,22.2904109589041,0.166666666666667,0.269174041297935,32,5-14
DRC,10,12,13,22.2904109589041,0.833333333333333,0.583210422812193,56,5-14
DRC,12,12,1,22.2575342465753,1,0.0449286065977352,59,5-14
DRC,27,12,10,22.158904109589,2.25,0.451285855588527,63,5-14
DRC,6,12,13,22.2904109589041,0.5,0.583210422812193,66,5-14
DRC,5,12,11,22.2575342465753,0.416666666666667,0.494214672575087,67,5-14
DRC,0,12,9,22.2575342465753,0,0.404357459379617,72,5-14
DRC,2,12,0,22.2575342465753,0.166666666666667,0,99,5-14
DRC,13,12,12,22.2904109589041,1.08333333333333,0.538348082595871,125,5-14
Kenya,2,12,6,20.9753424657534,0.166666666666667,0.286050156739812,69,5-14
Kenya,34,12,11,21.041095890411,2.83333333333333,0.522786458333332,75,5-14
Kenya,0,12,6,20.9753424657534,0,0.286050156739812,77,5-14
Kenya,2,12,0,20.7123287671233,0.166666666666667,0,83,5-14
Kenya,3,12,11,21.041095890411,0.25,0.522786458333332,91,5-14
Kenya,5,12,6,21.041095890411,0.416666666666667,0.285156249999999,94,5-14
Kenya,5,12,0,21.041095890411,0.416666666666667,0,102,5-14
Kenya,4,12,6,20.5479452054795,0.333333333333333,0.291999999999999,104,5-14
Kenya,9,12,4,20.9424657534247,0.75,0.190999476713762,108,5-14
Kenya,2,12,2,21.041095890411,0.166666666666667,0.0950520833333331,109,5-14
Kenya,3,12,8,21.0082191780822,0.25,0.380803338549817,110,5-14
Kenya,38,12,0,21.0082191780822,3.16666666666667,0,111,5-14
Kenya,8,12,1,21.0082191780822,0.666666666666667,0.0476004173187272,116,5-14
Kenya,31,12,17,21.0082191780822,2.58333333333333,0.809207094418362,128,5-14
Kenya,0,12,3,20.7452054794521,0,0.144611727416798,131,5-14
Lesotho,0,12,7,18.9369863013699,0,0.36964699074074,4,5-14
Lesotho,0,12,15,18.8712328767123,0,0.794860627177702,37,5-14
Lesotho,0,12,16,18.6082191780822,0,0.859835100117785,65,5-14
Lesotho,1,12,21,18.5095890410959,0.0833333333333333,1.13454706927176,73,5-14
Lesotho,0,12,8,17.786301369863,0,0.449784349969193,76,5-14
Lesotho,1,12,32,18.9698630136986,0.0833333333333333,1.68688619295205,78,5-14
Lesotho,13,12,27,18.5095890410959,1.08333333333333,1.45870337477797,81,5-14
Lesotho,7,12,63,18.8383561643836,0.583333333333333,3.34424083769633,84,5-14
Lesotho,11,12,16,18.5095890410959,0.916666666666667,0.864416814683244,85,5-14
Lesotho,1,12,36,18.8383561643836,0.0833333333333333,1.9109947643979,86,5-14
Lesotho,10,12,23,16.7013698630137,0.833333333333333,1.37713254593176,87,5-14
Lesotho,0,12,16,18.9698630136986,0,0.843443096476027,96,5-14
Lesotho,23,12,1,18.9041095890411,1.91666666666667,0.0528985507246377,106,5-14
Lesotho,1,12,34,17.8191780821918,0.0833333333333333,1.9080565805658,112,5-14
Lesotho,6,12,14,18.6082191780822,0.5,0.752355712603062,114,5-14
Lesotho,0,12,13,18.5095890410959,0,0.702338661930136,115,5-14
Lesotho,0,12,11,17.1287671232877,0,0.642194497760715,117,5-14
Lesotho,2,12,19,18.4109589041096,0.166666666666667,1.03199404761905,121,5-14
Lesotho,10,12,26,18.2794520547945,0.833333333333333,1.42236211031175,127,5-14
Malawi,5,12,105,23.9342465753425,0.416666666666667,4.38701923076922,1,5-14
Malawi,0,12,0,23.572602739726,0,0,5,5-14
Malawi,8,12,39,23.6712328767123,0.666666666666667,1.64756944444445,18,5-14
Malawi,1,12,31,23.7698630136986,0.0833333333333333,1.3041724296911,20,5-14
Malawi,1,12,0,23.7698630136986,0.0833333333333333,0,34,5-14
Malawi,0,12,4,23.2767123287671,0,0.171845574387947,64,5-14
Malawi,1,12,47,23.9342465753425,0.0833333333333333,1.96371336996337,74,5-14
Malawi,1,12,1,24,0.0833333333333333,0.0416666666666667,93,5-14
Malawi,2,12,49,23.9013698630137,0.166666666666667,2.05009170105456,95,5-14
Malawi,0,12,1,23.3095890410959,0,0.0429007992477668,98,5-14
Malawi,0,12,54,23.7698630136986,0,2.27178423236515,103,5-14
Malawi,2,12,1,23.7369863013699,0.166666666666667,0.0421283471837488,105,5-14
Malawi,0,12,38,23.8027397260274,0,1.59645488029466,123,5-14
Malawi,2,12,33,23.7698630136986,0.166666666666667,1.38831258644537,126,5-14
Malawi,0,12,43,23.9342465753425,0,1.79658882783883,130,5-14
Uganda,2,12,0,18.0164383561644,0.166666666666667,0,7,5-14
Uganda,2,12,47,18.0493150684931,0.166666666666667,2.60397692774743,8,5-14
Uganda,0,12,17,19.0356164383562,0,0.89306275187104,55,5-14
Uganda,0,12,22,17.0301369863014,0,1.29182754182754,57,5-14
Uganda,0,12,59,18.1479452054794,0,3.25105676328503,58,5-14
Uganda,0,12,153,17.9835616438356,0,8.50776965265083,60,5-14
Uganda,0,12,25,18.0493150684931,0,1.38509411050395,61,5-14
Uganda,0,12,1,14.9260273972603,0,0.0669970631424375,62,5-14
Uganda,1,12,22,18.0493150684931,0.0833333333333333,1.21888281724348,68,5-14
Uganda,0,12,17,17.9506849315068,0,0.947039072039075,70,5-14
Uganda,4,12,74,16.8986301369863,0.333333333333333,4.37905317769131,88,5-14
Uganda,2,12,104,16.3397260273973,0.166666666666667,6.3648558014755,89,5-14
Uganda,0,12,2,18.5753424657534,0,0.107669616519174,101,5-14
Uganda,0,12,31,18.0493150684931,0,1.7175166970249,107,5-14
Uganda,0,12,29,17.9506849315068,0,1.61553724053725,118,5-14
Uganda,1,12,6,17.786301369863,0.0833333333333333,0.337338262476895,119,5-14
Uganda,0,12,50,18.2465753424658,0,2.74024024024023,120,5-14
Uganda,26,12,43,17.4904109589041,2.16666666666667,2.45848997493735,129,5-14
Zimbabwe,0,12,0,7.0027397260274,0,0,2,5-14
Zimbabwe,1,12,45,25.0849315068493,0.0833333333333333,1.79390563564876,3,5-14
Zimbabwe,1,12,9,15.2219178082192,0.0833333333333333,0.591252699784016,17,5-14
Zimbabwe,1,12,50,25.5123287671233,0.0833333333333333,1.95983676975945,19,5-14
Zimbabwe,3,12,20,24.8876712328767,0.25,0.803610744165566,22,5-14
Zimbabwe,0,12,11,14.0712328767123,0,0.781736760124612,36,5-14
Zimbabwe,3,12,4,13.2493150684932,0.25,0.301902398676591,38,5-14
Zimbabwe,0,12,23,24.9534246575342,0,0.921717171717173,41,5-14
Zimbabwe,0,12,5,11.7698630136986,0,0.424813780260709,52,5-14
Zimbabwe,0,12,9,12.3616438356164,0,0.7280585106383,71,5-14
Zimbabwe,1,12,41,12.6246575342466,0.0833333333333333,3.24761284722222,79,5-14
Zimbabwe,0,12,3,13.6109589041096,0,0.220410628019323,80,5-14
Zimbabwe,2,12,17,24.8876712328767,0.166666666666667,0.683069132540731,82,5-14
Zimbabwe,0,12,1,9.96164383561644,0,0.10038503850385,90,5-14
Zimbabwe,0,12,545,23.1452054794521,0,23.5469933712121,97,5-14
Zimbabwe,0,12,0,17.7534246575342,0,0,100,5-14
Zimbabwe,0,12,7,24.8876712328767,0,0.281263760457948,113,5-14
Zimbabwe,0,12,8,14.5972602739726,0,0.548048048048048,122,5-14
Zimbabwe,5,12,46,24.8876712328767,0.416666666666667,1.8483047115808,124,5-14
Cote d'Ivoire,199,12,381,22.7506849315068,16.5833333333333,16.7467485549133,10,0-14
Cote d'Ivoire,73,12,229,19.6602739726027,6.08333333333333,11.6478539576366,11,0-14
Cote d'Ivoire,74,12,153,23.2767123287671,6.16666666666667,6.57309322033899,12,0-14
Cote d'Ivoire,55,12,64,17.2602739726027,4.58333333333333,3.70793650793652,13,0-14
Cote d'Ivoire,20,12,59,22.8821917808219,1.66666666666667,2.57842432950192,33,0-14
Cote d'Ivoire,20,12,115,19.5945205479452,1.66666666666667,5.86898769574944,39,0-14
Cote d'Ivoire,60,12,194,21.2712328767123,5,9.1202988150438,40,0-14
Cote d'Ivoire,40,12,203,22.3561643835616,3.33333333333333,9.08026960784315,46,0-14
Cote d'Ivoire,32,12,186,20.8109589041096,2.66666666666667,8.93759873617693,47,0-14
Cote d'Ivoire,29,12,135,20.7780821917808,2.41666666666667,6.49723101265824,48,0-14
Cameroon,24,12,41,12.8876712328767,2,3.18133503401361,9,0-14
Cameroon,1,12,188,22.3232876712329,0.0833333333333333,8.42169857633774,14,0-14
Cameroon,10,12,3,22.3561643835616,0.833333333333333,0.134191176470589,21,0-14
Cameroon,1,12,123,23.2767123287671,0.0833333333333333,5.28425141242938,35,0-14
Cameroon,2,12,90,16.8657534246575,0.166666666666667,5.33625730994153,42,0-14
Cameroon,9,12,47,23.3424657534247,0.75,2.01349765258216,43,0-14
Cameroon,0,12,19,17.8849315068493,0,1.06234681372549,44,0-14
Cameroon,0,12,48,17.227397260274,0,2.78625954198473,45,0-14
Cameroon,32,12,168,16.9972602739726,2.66666666666667,9.88394584139265,49,0-14
Cameroon,7,12,10,19.9890410958904,0.583333333333333,0.500274122807018,50,0-14
Cameroon,17,12,140,21.6,1.41666666666667,6.48148148148148,51,0-14
Cameroon,11,12,114,21.8958904109589,0.916666666666667,5.20645645645646,53,0-14
Cameroon,16,12,6,20.0219178082192,1.33333333333333,0.299671592775041,54,0-14
Cameroon,64,12,78,21.9287671232877,5.33333333333333,3.55697151424287,92,0-14
DRC,77,12,329,22.2904109589041,6.41666666666667,14.7597099311701,6,0-14
DRC,5,12,296,22.1917808219178,0.416666666666667,13.3382716049383,15,0-14
DRC,13,12,332,22.158904109589,1.08333333333333,14.9826904055391,16,0-14
DRC,16,12,581,22.0602739726027,1.33333333333333,26.3369349230005,23,0-14
DRC,88,12,263,22.1260273972603,7.33333333333333,11.8864536899455,24,0-14
DRC,33,12,154,22.2904109589041,2.75,6.90880039331367,25,0-14
DRC,0,12,166,21.8958904109589,0,7.58133133133133,26,0-14
DRC,4,12,626,22.2904109589041,0.333333333333333,28.0838249754179,27,0-14
DRC,7,12,204,22.0931506849315,0.583333333333333,9.23363095238095,28,0-14
DRC,5,12,1428,22.1260273972603,0.416666666666667,64.5393759286775,29,0-14
DRC,4,12,216,22.0931506849315,0.333333333333333,9.77678571428572,30,0-14
DRC,0,12,325,22.1917808219178,0,14.6450617283951,31,0-14
DRC,6,12,336,22.2904109589041,0.5,15.0737463126844,32,0-14
DRC,21,12,202,22.2904109589041,1.75,9.06219272369715,56,0-14
DRC,13,12,126,22.2575342465753,1.08333333333333,5.66100443131463,59,0-14
DRC,29,12,35,22.158904109589,2.41666666666667,1.57950049455984,63,0-14
DRC,11,12,84,22.2904109589041,0.916666666666667,3.76843657817109,66,0-14
DRC,7,12,424,22.2575342465753,0.583333333333333,19.0497291974397,67,0-14
DRC,0,12,121,22.2575342465753,0,5.43636139832596,72,0-14
DRC,4,12,122,22.2575342465753,0.333333333333333,5.48129000492369,99,0-14
DRC,14,12,100,22.2904109589041,1.16666666666667,4.48623402163225,125,0-14
Kenya,9,12,48,20.9753424657534,0.75,2.2884012539185,69,0-14
Kenya,108,12,279,21.041095890411,9,13.259765625,75,0-14
Kenya,4,12,61,20.9753424657534,0.333333333333333,2.90817659352142,77,0-14
Kenya,7,12,25,20.7123287671233,0.583333333333333,1.20701058201058,83,0-14
Kenya,19,12,67,21.041095890411,1.58333333333333,3.18424479166666,91,0-14
Kenya,11,12,93,21.041095890411,0.916666666666667,4.41992187499999,94,0-14
Kenya,10,12,25,21.041095890411,0.833333333333333,1.18815104166666,102,0-14
Kenya,16,12,42,20.5479452054795,1.33333333333333,2.044,104,0-14
Kenya,11,12,34,20.9424657534247,0.916666666666667,1.62349555206698,108,0-14
Kenya,2,12,8,21.041095890411,0.166666666666667,0.380208333333333,109,0-14
Kenya,8,12,35,21.0082191780822,0.666666666666667,1.66601460615545,110,0-14
Kenya,44,12,44,21.0082191780822,3.66666666666667,2.094418362024,111,0-14
Kenya,19,12,61,21.0082191780822,1.58333333333333,2.90362545644236,116,0-14
Kenya,43,12,79,21.0082191780822,3.58333333333333,3.76043296817945,128,0-14
Kenya,0,12,26,20.7452054794521,0,1.25330163761225,131,0-14
Lesotho,2,12,39,18.9369863013699,0.166666666666667,2.05946180555555,4,0-14
Lesotho,0,12,36,18.8712328767123,0,1.90766550522648,37,0-14
Lesotho,14,12,48,18.6082191780822,1.16666666666667,2.57950530035336,65,0-14
Lesotho,2,12,30,18.5095890410959,0.166666666666667,1.62078152753108,73,0-14
Lesotho,0,12,25,17.786301369863,0,1.40557609365373,76,0-14
Lesotho,2,12,57,18.9698630136986,0.166666666666667,3.00476603119585,78,0-14
Lesotho,16,12,62,18.5095890410959,1.33333333333333,3.34961515689757,81,0-14
Lesotho,45,12,92,18.8383561643836,3.75,4.88365328679464,84,0-14
Lesotho,17,12,33,18.5095890410959,1.41666666666667,1.78285968028419,85,0-14
Lesotho,1,12,67,18.8383561643836,0.0833333333333333,3.5565735892961,86,0-14
Lesotho,11,12,60,16.7013698630137,0.916666666666667,3.59251968503937,87,0-14
Lesotho,4,12,25,18.9698630136986,0.333333333333333,1.31787983824379,96,0-14
Lesotho,64,12,31,18.9041095890411,5.33333333333333,1.63985507246377,106,0-14
Lesotho,8,12,57,17.8191780821918,0.666666666666667,3.19880073800738,112,0-14
Lesotho,20,12,20,18.6082191780822,1.66666666666667,1.07479387514723,114,0-14
Lesotho,0,12,54,18.5095890410959,0,2.91740674955595,115,0-14
Lesotho,0,12,16,17.1287671232877,0,0.93410108765195,117,0-14
Lesotho,2,12,45,18.4109589041096,0.166666666666667,2.44419642857143,121,0-14
Lesotho,11,12,51,18.2794520547945,0.916666666666667,2.79001798561151,127,0-14
Malawi,49,12,259,23.9342465753425,4.08333333333333,10.8213141025641,1,0-14
Malawi,0,12,5,23.572602739726,0,0.212110646211065,5,0-14
Malawi,37,12,131,23.6712328767123,3.08333333333333,5.53414351851853,18,0-14
Malawi,18,12,102,23.7698630136986,1.5,4.2911479944675,20,0-14
Malawi,8,12,24,23.7698630136986,0.666666666666667,1.00968188105118,34,0-14
Malawi,4,12,26,23.2767123287671,0.333333333333333,1.11699623352166,64,0-14
